Группа,Преподаватель,Подгруппа,Дисциплина,Кабинет,Время,Дата
2684,,1.2,"Внеаудиторное занятие ""Разговоры о важном"" каб. №с/з",с/з,8.00-8.35,01.09.2026
2684,Седякина Д.Ю.,1,ОДБ.06 Иностранный язык,133,8.45-9.20 9.40-10.15,01.09.2026
2684,Тропина Н.Ю.,1,ОДБ.01 Русский язык,112,10.35-11.10 11.30-12.05,01.09.2026
2684,Волчихин К.А.,1,ОДБ.07 Физическая культура,с/з,12.15-12.50 13.00-13.35,01.09.2026
2685,,1.2,"Внеаудиторное занятие ""Разговоры о важном"" каб. №112",112,8.00-8.35,01.09.2026
2685,Шмелёва А.В.,1,ОДБ.06 Иностранный язык,245,8.45-9.20 9.40-10.15,01.09.2026
2685,Панфилова О.Л.,1,ОДБ.02 Литература,125,10.35-11.10 11.30-12.05,01.09.2026
2685,Тропина Н.Ю.,1,ОДБ.01 Русский язык,242,12.15-12.50 13.00-13.35,01.09.2026
2686,,1.2,"Внеаудиторное занятие ""Разговоры о важном"" каб. №121",121,8.00-8.35,01.09.2026
2686,Тропина Н.Ю.,1,ОДБ.01 Русский язык,112,8.45-9.20 9.40-10.15,01.09.2026
2686,Полякова М.В.,1,ОДБ.03 История,250а,10.35-11.10 11.30-12.05,01.09.2026
2686,Григораш А.В.,1,ОДБ.05 География,203,12.15-12.50 13.00-13.35,01.09.2026
2687,,1.2,"Внеаудиторное занятие ""Разговоры о важном"" каб. №203",203,8.00-8.35,01.09.2026
2687,Алта В.В.,1,ПОО.02 Введение в профессию,122,8.45-9.20 9.40-10.15,01.09.2026
2687,Волчихин К.А.,1,ОДБ.07 Физическая культура,с/з,10.35-11.10 11.30-12.05,01.09.2026
2687,Шмелёва А.В.,1,ОДП.11 Математика,206,12.15-12.50 13.00-13.35,01.09.2026
2688,,1.2,"Внеаудиторное занятие ""Разговоры о важном"" каб. №202",202,8.00-8.35,01.09.2026
2688,Григораш А.В.,1,,150,8.45-9.20 9.40-10.15,01.09.2026
2688,Григораш А.В.,1,ОДП.13 Биология,203,10.35-11.10 11.30-12.05,01.09.2026
2688,Азиатцев Е.С.,1,ОП.06 Основы зоотехники,122,12.15-12.50 13.00-13.35,01.09.2026
А24-1,Волчихин К.А.,1,ОГСЭ.04 Физическая культура,с/з,14.00-14.45 14.55-15.40,02.09.2026
А24-1,Пуртова А.В.,1,БД.03 История,240,16.00-16.45 17.05-17.50,02.09.2026
А24-1,Пуртова А.В.,1,БД.03 История,240,16.00-16.45 17.05-17.50,02.09.2026
Д24-5,Васькина Н.И.,1,"МДК.02.02 Государственные, муниципальные архивы и архивы организаций",,18.15-18.50 19.00-19.35,02.09.2026
Д24-5,Зылёва Я.Ф.,1,ОПЦ.07 Компьютерная обработка документов,,14.00-14.45 14.55-15.40,02.09.2026
Д24-5,Зылёва Я.Ф.,1,СГ.05 Основы бережливого производства,,16.00-16.45 17.05-17.50,02.09.2026
ДО24-6,Мартемьянова С.В.,1,МДК.02.06 Теоретические и методические основы организации трудовой деятельности детей дошкольного возраста,,18.15-18.50 19.00-19.35,02.09.2026
ДО24-6,Мартемьянова С.В.,1,МДК.02.06 Теоретические и методические основы организации трудовой деятельности детей дошкольного возраста,,14.00-14.45 14.55-15.40,02.09.2026
ДО24-6,Мартемьянова С.В.,1,ОПЦ.07 Основы обучения лиц с особыми образовательными потребностями,,16.00-16.45 17.05-17.50,02.09.2026
ДО26-7,Богданов М.В.,1,ОУП.07 Химия,,18.15-18.50 19.00-19.35,02.09.2026
ДО26-7,Тропина Н.Ю.,1,ОУП.01 Русский язык,,14.00-14.45 14.55-15.40,02.09.2026
ДО26-7,Романовская Е.В.,1,ОУП.10 Обществознание,,16.00-16.45 17.05-17.50,02.09.2026
ПКД24-4,Абакумов А.В.,1,БД.07 Информатика,,14.00-14.45 14.55-15.40,02.09.2026
ПКД24-4,Абакумов А.В.,1,БД.07 Информатика,,16.00-16.45 17.05-17.50,02.09.2026
ПКД26-5,Фазылов Р.Ю.,1,БД.08 Основы безопасности и защита Родины,,18.15-18.50 19.00-19.35,02.09.2026
ПКД26-5,Завьялов И.А.,1,ПОО.02 Введение в специальность,,14.00-14.45 14.55-15.40,02.09.2026
ПКД26-5,Еськова И.П.,1,ПД.11 Математика,,16.00-16.45 17.05-17.50,02.09.2026
ПП25-18,Деньгуб А.А.,1,МДК.02.01 Технологии публикации цифровой мультимедийной информации,,8.00-8.45 8.55-9.40,02.09.2026
ПП25-18,Зылёв А.Д.,1,АДП. 03 Адаптивные информационные и коммуникационные технологии,,10.00-10.45 11.05-11.50,02.09.2026
ПП25-18,Григораш С.В.,1,ОП.04 Основы электроники и цифровой схемотехники,,12.10-12.55 13.05-13.50,02.09.2026
ПП26-19,Бакланова Е.В.,1,ОП.02Основы почвоведения и агрономии,,8.00-8.45 8.55-9.40,02.09.2026
ПП26-19,Бакланова Е.В.,1,ОП.02Основы почвоведения и агрономии,,10.00-10.45 11.05-11.50,02.09.2026
ПП26-19,Бакланова Е.В.,1,ОП.02Основы почвоведения и агрономии,,12.10-12.55 13.05-13.50,02.09.2026
ПП26-20,Рубкалева А.Р.,1,АДП.01 Коммуникативный практикум,,8.00-8.45 8.55-9.40,02.09.2026
ПП26-20,Ефимов А.Н.,1,ОП.02 Основы материаловедения,,10.00-10.45 11.05-11.50,02.09.2026
ПП26-20,Ефимов А.Н.,1,"МДК.01.01Ремонт внутренних и наружных поверхностей зданий, облицованных плиткой, или замена отдельных плиток",,12.10-12.55 13.05-13.50,02.09.2026
ПП26-21,Лунина Н.Н.,1,ОП.03 Основы материаловедения,,10.00-10.45 11.05-11.50,02.09.2026
ПП26-21,Бычихина Н.А.,1,АДП.02 Социальная адаптация и основы социально-правовых знаний,,12.10-12.55 13.05-13.50,02.09.2026
ПП26-22,Малушкин А.В.,1,ОП.01 Основы информационных технологий,,10.00-10.45 11.05-11.50,02.09.2026
ПП26-22,Вострецова Н.В.,1,ОП.02 Охрана труда и техника безопасности,,12.10-12.55 13.05-13.50,02.09.2026
СС25-3,Малушкин А.В.,1,ОП.05 Основы проектирования баз данных,,18.15-18.50 19.00-19.35,02.09.2026
СС25-3,Пуртова А.В.,1,БД.03 История,,14.00-14.45 14.55-15.40,02.09.2026
СС25-3,Бурундуков Е.В.,1,БД.10 Биология,,16.00-16.45 17.05-17.50,02.09.2026
СС26-4,Еськова И.П.,1,ПД.01 Математика,,18.15-18.50 19.00-19.35,02.09.2026
СС26-4,Романовская Е.В.,1,БД.04 Обществознание,,14.00-14.45 14.55-15.40,02.09.2026
СС26-4,Машер В.В.,1,ПОО.02 Введение в специальность,,16.00-16.45 17.05-17.50,02.09.2026
ТОд23-1,Пилипук В.А.,1,МДК.03.03 Тюнинг автомобилей,,14.00-14.45 14.55-15.40,02.09.2026
ТОд23-1,Полякова М.В.,1,ОГСЭ.03 Иностранный язык в профессиональной деятельности,,16.00-16.45 17.05-17.50,02.09.2026
Э25-6,Зылёв А.Д.,1,ПД.03 Информатика,,18.15-18.50 19.00-19.35,02.09.2026
Э25-6,Григораш А.В.,1,БД.10 Биология,,14.00-14.45 14.55-15.40,02.09.2026
Э25-6,Дьячкова Е.Р.,1,ОП.07 Основы управленческого учета,,16.00-16.45 17.05-17.50,02.09.2026
ЭСХ23-4,Глыдов В.Н.,1,МДК.04.03 Организация и выполнение грузовых перевозок автомобильным транспортом,,18.15-18.50 19.00-19.35,02.09.2026
ЭСХ23-4,Бурундуков Е.В.,1,ОП.18 Основы законодательства в сфере дорожного движения,,14.00-14.45 14.55-15.40,02.09.2026
ЭСХ23-4,Пилипук В.А.,1,"МДК.04.01 Устройство и техническое обслуживание транспортных средств категории ""BC"" как объектов управления",,16.00-16.45 17.05-17.50,02.09.2026
ЭСХ25-5,Кузнецов Н.В.,1,МДК.01.02 Подготовка тракторов и сельскохозяйственных машин и механизмов к работе.,,18.15-18.50 19.00-19.35,02.09.2026
ЭСХ25-5,Еськова И.П.,1,ПД.01 Математика,,14.00-14.45 14.55-15.40,02.09.2026
ЭСХ25-5,Григораш А.В.,1,ПД.03 Биология,,16.00-16.45 17.05-17.50,02.09.2026
2367,Мещерякова Д.М.,1,ОП.13 Производство и приготовление кулинарной и кондитерской продукции национальной кухни,,8.00-8.45 8.55-9.40,02.09.2026
2367,Мещерякова Д.М.,1,ОП.13 Производство и приготовление кулинарной и кондитерской продукции национальной кухни,,10.00-10.45 11.05-11.50,02.09.2026
2367,Седякина Д.Ю.,1,ОПЦ.07  Иностранный язык в профессиональной деятельности,,12.10-12.55 13.05-13.50,02.09.2026
2577,Абакумов А.В.,1,МДК.01.01 Технология каменных работ,,8.00-8.45 8.55-9.40,02.09.2026
2577,Романовская Е.В.,1,ОДБ.04 Обществознание (включая экономику и право),,10.00-10.45 11.05-11.50,02.09.2026
2577,Волчихин К.А.,1,СГ.04 Физическая культура,,12.10-12.55 13.05-13.50,02.09.2026
2578,Вахрамеева С.Н.,1,ОДП.13 Физика,,8.00-8.45 8.55-9.40,02.09.2026
2578,Бурундуков Е.В.,1,ОДБ.10 Биология,,10.00-10.45 11.05-11.50,02.09.2026
2578,Деньгуб А.А.,1,ОП.02 Информационные технологии,,12.10-12.55 13.05-13.50,02.09.2026
2579,Алта В.В.,1,"УП.01.01 Учебная практика ""Проведение подготовительных, сборочных операций перед сваркой, зачистка и контроль сварных швов после сварки""",№2 гараж,8.00-8.45 8.55-9.40,02.09.2026
2579,Косичкин Т.В.,2,"УП.01.01 Учебная практика ""Проведение подготовительных, сборочных операций перед сваркой, зачистка и контроль сварных швов после сварки""", ,8.00-8.45 8.55-9.40,02.09.2026
2579,Алта В.В.,1,"УП.01.01 Учебная практика ""Проведение подготовительных, сборочных операций перед сваркой, зачистка и контроль сварных швов после сварки""",№2 гараж,10.00-10.45 11.05-11.50,02.09.2026
2579,Косичкин Т.В.,2,"УП.01.01 Учебная практика ""Проведение подготовительных, сборочных операций перед сваркой, зачистка и контроль сварных швов после сварки""", ,10.00-10.45 11.05-11.50,02.09.2026
2579,Алта В.В.,1,"УП.01.01 Учебная практика ""Проведение подготовительных, сборочных операций перед сваркой, зачистка и контроль сварных швов после сварки""",№2 гараж,12.10-12.55 13.05-13.50,02.09.2026
2579,Косичкин Т.В.,2,"УП.01.01 Учебная практика ""Проведение подготовительных, сборочных операций перед сваркой, зачистка и контроль сварных швов после сварки""", ,12.10-12.55 13.05-13.50,02.09.2026
2580,Вахрамеева С.Н.,1,ОДП.13 Физика,,10.00-10.45 11.05-11.50,02.09.2026
2580,Григораш А.В.,1,ОДБ.05 География,,12.10-12.55 13.05-13.50,02.09.2026
2581,Волчихин К.А.,1,СГ.04 Физическая культура,,8.00-8.45 8.55-9.40,02.09.2026
2581,Абакумов А.В.,1,ОДБ.07 Информатика,,10.00-10.45 11.05-11.50,02.09.2026
2581,Бурундуков Е.В.,1,ОДП.13 Биология,,12.10-12.55 13.05-13.50,02.09.2026
2582,Улыбина Н.Г.,1,"МДК.02.02 Процессы приготовления, подготовки к реализации и презентации горячих блюд, кулинарных изделий, закусок",,8.00-8.45 8.55-9.40,02.09.2026
2582,Улыбина Н.Г.,1,"МДК.02.02 Процессы приготовления, подготовки к реализации и презентации горячих блюд, кулинарных изделий, закусок",,10.00-10.45 11.05-11.50,02.09.2026
2582,Улыбина Н.Г.,1,"МДК.02.02 Процессы приготовления, подготовки к реализации и презентации горячих блюд, кулинарных изделий, закусок",,12.10-12.55 13.05-13.50,02.09.2026
2583,Панфилова О.Л.,1,ОДП.01 Литература,,8.00-8.45 8.55-9.40,02.09.2026
2583,Волчихин К.А.,1,ОДБ.07 Физическая культура,,10.00-10.45 11.05-11.50,02.09.2026
2583,Пуртова А.В.,1,ОДБ.02 История,,12.10-12.55 13.05-13.50,02.09.2026
2684,Малушкин А.В.,1,ОП.01 Основы информационных технологий,,8.00-8.45 8.55-9.40,02.09.2026
2684,Деньгуб А.А.,1,ПОО.02 Введение в профессию,,10.00-10.45 11.05-11.50,02.09.2026
2684,Фазылов Р.Ю.,1,ОДБ.08 Основы безопасности и защита Родины,,12.10-12.55 13.05-13.50,02.09.2026
2685,Григораш С.В.,1,ПОО.02 Введение в профессию,,8.00-8.45 8.55-9.40,02.09.2026
2685,Григораш С.В.,1,ОДП.13 Физика,,10.00-10.45 11.05-11.50,02.09.2026
2685,Шмелёва А.В.,1,ОДП.11 Математика,,12.10-12.55 13.05-13.50,02.09.2026
2686,Ефимов А.Н.,1,ОП.01 Материаловедение,,8.00-8.45 8.55-9.40,02.09.2026
2686,Григораш А.В.,1,ОДБ.05 География,,10.00-10.45 11.05-11.50,02.09.2026
2686,Тропина Н.Ю.,1,ОДБ.01 Русский язык,,12.10-12.55 13.05-13.50,02.09.2026
2687,Шмелёва А.В.,1,ОДП.11 Математика,,8.00-8.45 8.55-9.40,02.09.2026
2687,Шмелёва А.В.,1,ОДП.11 Математика,,10.00-10.45 11.05-11.50,02.09.2026
2687,Романовская Е.В.,1,ОДБ.04 Обществознание (включая экономику и право),,12.10-12.55 13.05-13.50,02.09.2026
2688,Азиатцев Е.С.,1,ОП.06 Основы зоотехники,,8.00-8.45 8.55-9.40,02.09.2026
2688,Кузнецов Н.В.,1,ПОО.02 Введение в профессию,,10.00-10.45 11.05-11.50,02.09.2026
2688,Кузнецов Н.В.,1,ОП.02 Основы материаловедения и технология общеслесарных работ,,12.10-12.55 13.05-13.50,02.09.2026
А24-1,Пуртова А.В.,1,БД.03 История,,18.00-18.45 18.55-19.40,03.09.2026
А24-1,Бакланова Е.В.,1,МДК.02.02 Обработка и воспроизводство плодородия почв,,14.00-14.45 14.55-15.40,01.09.2026
А24-1,Бакланова Е.В.,1,МДК.02.02 Обработка и воспроизводство плодородия почв,,16.00-16.45 17.05-17.50,01.09.2026
Д24-5,Васькина Н.И.,1,"МДК.02.02 Государственные, муниципальные архивы и архивы организаций",,18.00-18.45 18.55-19.40,01.09.2026
Д24-5,Вахрамеева С.Н.,1,БД.09 Физика,,14.00-14.45 14.55-15.40,01.09.2026
Д24-5,Зылёва Я.Ф.,1,МДК.02.01 Организация и нормативно-правовые основы архивного дела,,16.00-16.45 17.05-17.50,01.09.2026
ДО24-6,Мартемьянова С.В.,1,МДК.02.06 Теоретические и методические основы организации трудовой деятельности детей дошкольного возраста,,18.00-18.45 18.55-19.40,01.09.2026
ДО24-6,Мартемьянова С.В.,1,МДК.02.06 Теоретические и методические основы организации трудовой деятельности детей дошкольного возраста,,14.00-14.45 14.55-15.40,01.09.2026
ДО24-6,Мартемьянова С.В.,1,ОПЦ.09 Детская психология,,16.00-16.45 17.05-17.50,01.09.2026
ДО26-7,Богданов М.В.,1,ОУП.07 Химия,,18.00-18.45 18.55-19.40,01.09.2026
ДО26-7,Богданов М.В.,1,ОУП.07 Химия,,14.00-14.45 14.55-15.40,01.09.2026
ДО26-7,Полякова М.В.,1,ОУП.04 Иностранный язык,,16.00-16.45 17.05-17.50,01.09.2026
ПКД24-4,Лунина Н.Н.,1,ОП.12 Основы финансовой грамотности и предпринимательской деятельности,,14.00-14.45 14.55-15.40,01.09.2026
ПКД24-4,Богданов М.В.,1,ЕН.01 Химия,,16.00-16.45 17.05-17.50,01.09.2026
ПКД26-5,Еськова И.П.,1,ПД.11 Математика,,14.00-14.45 14.55-15.40,01.09.2026
ПКД26-5,Седякина Д.Ю.,1,БД.06 Иностранный язык,,16.00-16.45 17.05-17.50,01.09.2026
ПП25-17,Пилипук В.А.,1,МДК.01.02 Выполнение работ по техническому обслуживанию автотранспортных средств и их компонентов,,8.00-8.45 8.55-9.40,01.09.2026
ПП25-17,Пилипук В.А.,1,МДК.01.02 Выполнение работ по техническому обслуживанию автотранспортных средств и их компонентов,,10.00-10.45 11.05-11.50,01.09.2026
ПП25-17,Зылёва Я.Ф.,1,ОП.06 Основы бережливого производства,,12.10-12.55 13.05-13.50,01.09.2026
ПП25-18,Деньгуб А.А.,1,"УП.02.01Учебная практика ""Хранение, передача и публикация цифровой информации""",,8.00-8.45 8.55-9.40,01.09.2026
ПП25-18,Деньгуб А.А.,1,"УП.02.01Учебная практика ""Хранение, передача и публикация цифровой информации""",,10.00-10.45 11.05-11.50,01.09.2026
ПП25-18,Деньгуб А.А.,1,"УП.02.01Учебная практика ""Хранение, передача и публикация цифровой информации""",,12.10-12.55 13.05-13.50,01.09.2026
ПП26-20,Ефимов А.Н.,1,"МДК.01.01 Ремонт внутренних и наружных поверхностей зданий, облицованных плиткой, или замена отдельных плиток",,8.00-8.45 8.55-9.40,01.09.2026
ПП26-20,Ефимов А.Н.,1,ОП.03 Основы технологии отделочных строительных работ,,10.00-10.45 11.05-11.50,01.09.2026
ПП26-20,Рубкалева А.Р.,1,АДП.01 Коммуникативный практикум,,12.10-12.55 13.05-13.50,01.09.2026
ПП26-21,Бычихина Н.А.,1,АДП.02 Социальная адаптация и основы социально-правовых знаний,,10.00-10.45 11.05-11.50,01.09.2026
ПП26-21,Лунина Н.Н.,1,ОП.03 Основы материаловедения,,12.10-12.55 13.05-13.50,01.09.2026
ПП26-22,Малушкин А.В.,1,МДК.01.01 Технологии создания и обработки мультимедийной информации,,10.00-10.45 11.05-11.50,01.09.2026
ПП26-22,Малушкин А.В.,1,ОП.01 Основы информационных технологий,,12.10-12.55 13.05-13.50,01.09.2026
СС25-3,Машер В.В.,1,МДК.01.03Безопасность компьютерных сетей,,14.00-14.45 14.55-15.40,01.09.2026
СС25-3,Машер В.В.,1,МДК.01.03Безопасность компьютерных сетей,,16.00-16.45 17.05-17.50,01.09.2026
СС26-4,Зылёва Я.Ф.,1,СГ.06 Основы финансовой грамотности,,18.00-18.45 18.55-19.40,01.09.2026
СС26-4,Зылёва Я.Ф.,1,СГ.06 Основы финансовой грамотности,,14.00-14.45 14.55-15.40,01.09.2026
СС26-4,Романовская Е.В.,1,БД.04 Обществознание,,16.00-16.45 17.05-17.50,01.09.2026
ТОд23-1,Полякова М.В.,1,ОГСЭ.03 Иностранный язык в профессиональной деятельности,,18.00-18.45 18.55-19.40,01.09.2026
ТОд23-1,Полякова М.В.,1,ОГСЭ.03 Иностранный язык в профессиональной деятельности,,14.00-14.45 14.55-15.40,01.09.2026
ТОд23-1,Григораш С.В.,1,МДК.03.04 Производственное оборудование,,16.00-16.45 17.05-17.50,01.09.2026
Э25-6,Дьячкова Е.Р.,1,ОП.07 Основы управленческого учета,,14.00-14.45 14.55-15.40,01.09.2026
Э25-6,Зылёв А.Д.,1,ПД.03 Информатика,,16.00-16.45 17.05-17.50,01.09.2026
ЭСХ23-4,Пилипук В.А.,1,"МДК.04.01 Устройство и техническое обслуживание транспортных средств категории ""BC"" как объектов управления",,18.00-18.45 18.55-19.40,01.09.2026
ЭСХ23-4,Болдырева Н.Н.,1,ОП.19 Правила оказания первой помощи при дорожно-транспортном происшествии,,14.00-14.45 14.55-15.40,01.09.2026
ЭСХ23-4,Болдырева Н.Н.,1,ОП.19 Правила оказания первой помощи при дорожно-транспортном происшествии,,16.00-16.45 17.05-17.50,01.09.2026
ЭСХ25-5,Григораш А.В.,1,ПД.03 Биология,,14.00-14.45 14.55-15.40,01.09.2026
ЭСХ25-5,Григораш А.В.,1,ПД.03 Биология,,16.00-16.45 17.05-17.50,01.09.2026
2367,Мещерякова Д.М.,1,"УП.04.01 Учебная практика ""Приготовление, оформление и подготовка к реализации холодных и горячих сладких блюд, десертов, напитков разнообразного ассортимента""",лабор,8.00-8.45 8.55-9.40,01.09.2026
2367,Улыбина Н.Г.,2,"УП.04.01 Учебная практика ""Приготовление, оформление и подготовка к реализации холодных и горячих сладких блюд, десертов, напитков разнообразного ассортимента""",118,8.00-8.45 8.55-9.40,01.09.2026
2367,Мещерякова Д.М.,1,"УП.04.01 Учебная практика ""Приготовление, оформление и подготовка к реализации холодных и горячих сладких блюд, десертов, напитков разнообразного ассортимента""",лабор,10.00-10.45 11.05-11.50,01.09.2026
2367,Улыбина Н.Г.,2,"УП.04.01 Учебная практика ""Приготовление, оформление и подготовка к реализации холодных и горячих сладких блюд, десертов, напитков разнообразного ассортимента""",118,10.00-10.45 11.05-11.50,01.09.2026
2367,Мещерякова Д.М.,1,"УП.04.01 Учебная практика ""Приготовление, оформление и подготовка к реализации холодных и горячих сладких блюд, десертов, напитков разнообразного ассортимента""", ,12.10-12.55 13.05-13.50,01.09.2026
2367,Улыбина Н.Г.,2,"УП.04.01 Учебная практика ""Приготовление, оформление и подготовка к реализации холодных и горячих сладких блюд, десертов, напитков разнообразного ассортимента""",118,12.10-12.55 13.05-13.50,01.09.2026
2577,Абакумов А.В.,1,МДК.01.01 Технология каменных работ,,8.00-8.45 8.55-9.40,01.09.2026
2577,Абакумов А.В.,1,МДК.01.01 Технология каменных работ,,10.00-10.45 11.05-11.50,01.09.2026
2577,Вахрамеева С.Н.,1,ОДП.12 Физика,,12.10-12.55 13.05-13.50,01.09.2026
2578,Шмелёва А.В.,1,ОДП.11 Математика,,8.00-8.45 8.55-9.40,01.09.2026
2578,Вахрамеева С.Н.,1,ОДП.13 Физика,,10.00-10.45 11.05-11.50,01.09.2026
2578,Шмелёва А.В.,1,ОДП.11 Математика,,12.10-12.55 13.05-13.50,01.09.2026
2579,Вахрамеева С.Н.,1,ОДП.13 Физика,,8.00-8.45 8.55-9.40,01.09.2026
2579,Панфилова О.Л.,1,ОДБ.02 Литература,,10.00-10.45 11.05-11.50,01.09.2026
2579,Панфилова О.Л.,1,ОДБ.02 Литература,,12.10-12.55 13.05-13.50,01.09.2026
2580,Волчихин К.А.,1,ОДБ.07 Физическая культура,,8.00-8.45 8.55-9.40,01.09.2026
2580,Полякова М.В.,1,СЦ.01 История России,,10.00-10.45 11.05-11.50,01.09.2026
2580,Пилипук В.А.,1,МДК.02.01 Диагностика автотранспортных средств,,12.10-12.55 13.05-13.50,01.09.2026
2581,Пуртова А.В.,1,СГ.01 История России,,8.00-8.45 8.55-9.40,01.09.2026
2581,Бурундуков Е.В.,1,ОДП.13 Биология,,10.00-10.45 11.05-11.50,01.09.2026
2581,Абакумов А.В.,1,ОДБ.07 Информатика,,12.10-12.55 13.05-13.50,01.09.2026
2582,Вострецова Н.В.,1,ОПЦ.10 Экологические основы природопользования,,8.00-8.45 8.55-9.40,01.09.2026
2582,Волчихин К.А.,1,ОДБ.07 Физическая культура,,10.00-10.45 11.05-11.50,01.09.2026
2582,Коробова Ю.А.,1,ОПЦ.04 Экономические и правовые основы производственной деятельности,,12.10-12.55 13.05-13.50,01.09.2026
2583,Васькина Н.И.,1,"ПП.01.01 Производственная практика ""Документирование управленческой деятельности и организация работы с документами""",,8.00-8.45 8.55-9.40,01.09.2026
2583,Васькина Н.И.,1,"ПП.01.01 Производственная практика ""Документирование управленческой деятельности и организация работы с документами""",,10.00-10.45 11.05-11.50,01.09.2026
2583,Васькина Н.И.,1,"ПП.01.01 Производственная практика ""Документирование управленческой деятельности и организация работы с документами""",,12.10-12.55 13.05-13.50,01.09.2026
2684,Фазылов Р.Ю.,1,ОДБ.08 Основы безопасности и защита Родины,,8.00-8.45 8.55-9.40,01.09.2026
2684,Пуртова А.В.,1,ОДБ.03 История,,10.00-10.45 11.05-11.50,01.09.2026
2684,Еськова И.П.,1,ОДП.11 Математика,,12.10-12.55 13.05-13.50,01.09.2026
2685,Панфилова О.Л.,1,ОДБ.02 Литература,,8.00-8.45 8.55-9.40,01.09.2026
2685,Шмелёва А.В.,1,ОДП.11 Математика,,10.00-10.45 11.05-11.50,01.09.2026
2685,Пуртова А.В.,1,ОДБ.03 История,,12.10-12.55 13.05-13.50,01.09.2026
2686,Тропина Н.Ю.,1,ОДБ.01 Русский язык,,10.00-10.45 11.05-11.50,01.09.2026
2686,Полякова М.В.,1,ОДБ.03 История,,12.10-12.55 13.05-13.50,01.09.2026
2687,Алта В.В.,1,ПОО.02 Введение в профессию,,8.00-8.45 8.55-9.40,01.09.2026
2687,Алта В.В.,1,ОП.03 Материаловедение,,10.00-10.45 11.05-11.50,01.09.2026
2687,Алта В.В.,1,ПОО.02 Введение в профессию,,12.10-12.55 13.05-13.50,01.09.2026
2688,Тропина Н.Ю.,1,ОДБ.01 Русский язык,,8.00-8.45 8.55-9.40,01.09.2026
2688,Вострецова Н.В.,1,ОП.09 Охрана труда,,10.00-10.45 11.05-11.50,01.09.2026
2688,Азиатцев Е.С.,1,ОП.06 Основы зоотехники,,12.10-12.55 13.05-13.50,01.09.2026
А24-1,Бакланова Е.В.,1,МДК.02.01 Защита растений,,18.00-18.45 18.55-19.40,01.09.2026
А24-1,Бакланова Е.В.,1,МДК.02.01 Защита растений,,14.00-14.45 14.55-15.40,01.09.2026
А24-1,Бакланова Е.В.,1,МДК.02.02 Обработка и воспроизводство плодородия почв,,16.00-16.45 17.05-17.50,01.09.2026
Д24-5,Зылёва Я.Ф.,1,МДК.02.01 Организация и нормативно-правовые основы архивного дела,,18.00-18.45 18.55-19.40,01.09.2026
Д24-5,Зылёва Я.Ф.,1,МДК.02.01 Организация и нормативно-правовые основы архивного дела,,14.00-14.45 14.55-15.40,01.09.2026
Д24-5,Вострецова Н.В.,1,СГ.07 Экологические основы природопользования,,16.00-16.45 17.05-17.50,01.09.2026
ДО24-6,Мартемьянова С.В.,1,ОПЦ.07 Основы обучения лиц с особыми образовательными потребностями,,18.00-18.45 18.55-19.40,01.09.2026
ДО24-6,Мартемьянова С.В.,1,ОПЦ.07 Основы обучения лиц с особыми образовательными потребностями,,16.00-16.45 17.05-17.50,01.09.2026
ДО26-7,Романовская Е.В.,1,ОУП.10 Обществознание,,18.00-18.45 18.55-19.40,01.09.2026
ДО26-7,Мартемьянова С.В.,1,ПОО.01 Ведение в специальность,,14.00-14.45 14.55-15.40,01.09.2026
ДО26-7,Еськова И.П.,1,ОУП.03 Математика,,16.00-16.45 17.05-17.50,01.09.2026
ПКД24-4,Седякина Д.Ю.,1,ОГСЭ.03 Иностранный язык в профессиональной деятельности,,18.00-18.45 18.55-19.40,01.09.2026
ПКД24-4,Абакумов А.В.,1,БД.07 Информатика,,14.00-14.45 14.55-15.40,01.09.2026
ПКД24-4,Абакумов А.В.,1,БД.07 Информатика,,16.00-16.45 17.05-17.50,01.09.2026
ПКД26-5,Богданов М.В.,1,ПД.12 Химия,,14.00-14.45 14.55-15.40,01.09.2026
ПКД26-5,Фазылов Р.Ю.,1,БД.08 Основы безопасности и защита Родины,,16.00-16.45 17.05-17.50,01.09.2026
ПП25-17,Зылёва Я.Ф.,1,ОП.06 Основы бережливого производства,,10.00-10.45 11.05-11.50,01.09.2026
ПП25-17,Зылёва Я.Ф.,1,ОП.06 Основы бережливого производства,,12.10-12.55 13.05-13.50,01.09.2026
ПП25-18,Зылёв А.Д.,1,АДП. 03 Адаптивные информационные и коммуникационные технологии,,8.00-8.45 8.55-9.40,01.09.2026
ПП25-18,Зылёв А.Д.,1,АДП. 03 Адаптивные информационные и коммуникационные технологии,,10.00-10.45 11.05-11.50,01.09.2026
ПП26-19,Богданов М.В.,1,ОП.01Ботаника и физиология растений,,8.00-8.45 8.55-9.40,01.09.2026
ПП26-19,Богданов М.В.,1,ОП.01Ботаника и физиология растений,,10.00-10.45 11.05-11.50,01.09.2026
ПП26-19,Богданов М.В.,1,ОП.01Ботаника и физиология растений,,12.10-12.55 13.05-13.50,01.09.2026
ПП26-20,Ефимов А.Н.,1,ОП.03 Основы технологии отделочных строительных работ,,10.00-10.45 11.05-11.50,01.09.2026
ПП26-20,Ефимов А.Н.,1,"МДК.01.01 Ремонт внутренних и наружных поверхностей зданий, облицованных плиткой, или замена отдельных плиток",,12.10-12.55 13.05-13.50,01.09.2026
ПП26-22,Бычихина Н.А.,1,АДП.02 Социальная адаптация и основы социально-правовых знаний,,10.00-10.45 11.05-11.50,01.09.2026
